weather_main,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,dt,sunrise,sunset
Clouds,2.47,-2.34,1.16,3.64,1005,73,10000,2.6,90,20,0,0,0,0,1585134900,1585091100,1585130880
Clouds,2.31,-2.1,1.39,3.12,1005,93,10000,2.6,60,20,0,0,0,0,1585135200,1585091100,1585130880
Clouds,2.47,-1.93,1.64,3.13,1005,73,10000,2.6,90,20,0,0,0,0,1585134900,1585091100,1585130880
Clouds,2.31,-1.89,1.09,3.76,1005,93,10000,2.6,60,20,0,0,0,0,1585135800,1585091100,1585130880
Clouds,2.31,-1.84,0.97,2.83,1005,93,10000,2.6,90,20,0,0,0,0,1585135680,1585091100,1585130880
Clouds,2.21,-2.56,0.79,3.43,1005,93,10000,2.6,80,20,0,0,0,0,1585136400,1585091100,1585130880
Clouds,2.21,-2.3,0.57,3.22,1005,93,10000,2.6,60,20,0,0,0,0,1585136400,1585091100,1585130880
Clouds,1.5,-3.02,0.41,2.3,1005,72,10000,1,70,20,0,0,0,0,1585137000,1585091100,1585130880
Clouds,1.5,-3.37,0.07,2.68,1005,72,10000,1,70,20,0,0,0,0,1585137000,1585091100,1585130880
Clouds,1.44,-3.26,-0.29,2.92,1005,72,10000,1,90,20,0,0,0,0,1585137600,1585091100,1585130880
Clouds,1.44,-2.7,0.08,2.43,1005,72,10000,1,70,20,0,0,0,0,1585137600,1585091100,1585130880
Clouds,1.35,-3.47,-0.05,2.35,1005,72,10000,1,70,20,0,0,0,0,1585138200,1585091100,1585130880
Clouds,1.35,-2.95,-0.22,2.52,1005,72,10000,1,60,20,0,0,0,0,1585138200,1585091100,1585130880
Clouds,1.35,-3.55,-0.01,2.61,1005,72,10000,1,90,20,0,0,0,0,1585138200,1585091100,1585130880
Clouds,1.35,-3.34,-0.11,2.55,1005,72,10000,1,70,20,0,0,0,0,1585138200,1585091100,1585130880
Clouds,1.14,-3.8,-0.31,2.19,1005,92,10000,2.1,60,20,0,0,0,0,1585139400,1585091100,1585130880
