number,available_bike_stands,available_bikes,last_update
69,23,17,1586258522000
25,25,5,1586258454000
51,32,8,1586258217000
37,18,12,1586258627000
59,9,11,1586258532000
95,18,22,1586258288000
94,29,11,1586258118000
105,31,5,1586258513000
36,40,0,1586258202000
93,18,22,1586258167000
22,14,6,1586258453000
50,37,3,1586258532000
110,28,12,1586258606000
12,9,11,1586258470000
34,21,9,1586258561000
78,17,23,1586258176000
2,10,10,1586258081000
75,40,0,1586258476000
111,34,6,1586258605000
26,18,2,1586258410000
65,24,16,1586258336000
15,15,1,1586258461000
86,35,3,1586258233000
10,5,11,1586258539000
100,17,8,1586258162000
24,18,1,1586258511000
64,33,7,1586258055000
109,16,13,1586258055000
85,26,9,1586258178000
107,34,6,1586258300000
33,13,10,1586258093000
44,19,10,1586258250000
89,24,16,1586258506000
57,19,4,1586258443000
80,29,11,1586258571000
41,16,4,1586258300000
3,13,7,1586258417000
40,20,1,1586258590000
29,12,17,1586258481000
103,38,2,1586258373000
28,26,4,1586258074000
39,14,6,1586258066000
83,19,20,1586258460000
92,22,18,1586258455000
21,24,6,1586258246000
88,7,23,1586258636000
42,16,12,1586348558000
30,17,3,1586348924000
54,28,5,1586348619000
108,33,7,1586348488000
56,34,6,1586348942000
6,17,3,1586348991000
18,25,5,1586348740000
32,19,11,1586348909000
52,15,17,1586348899000
48,24,15,1586348856000
13,26,3,1586348545000
43,28,2,1586348982000
81,27,13,1586348475000
31,7,13,1586348446000
98,29,11,1586348508000
23,23,7,1586348669000
106,35,5,1586348957000
112,23,7,1586348912000
68,28,12,1586348820000
74,18,12,1586348473000
87,31,7,1586348812000
84,20,10,1586348439000
90,32,8,1586348855000
11,19,11,1586348926000
17,17,3,1586348978000
45,13,17,1586348872000
114,35,4,1586348671000
72,31,0,1586348819000
63,24,11,1586348570000
113,36,3,1586348636000
91,20,10,1586348595000
99,21,9,1586348744000
9,7,17,1586348464000
67,32,8,1586348603000
116,23,7,1586348812000
55,30,6,1586348647000
62,29,11,1586348489000
5,25,15,1586348990000
97,37,3,1586348868000
61,15,10,1586348655000
77,17,12,1586348723000
73,21,9,1586348822000
4,11,9,1586348775000
49,26,14,1586348650000
19,18,11,1586348935000
7,23,6,1586348520000
102,28,12,1586348976000
38,19,21,1586348777000
53,33,7,1586348855000
58,29,10,1586348900000
66,24,16,1586348692000
104,27,13,1586348806000
101,23,7,1586348723000
115,5,24,1586348651000
47,39,1,1586348648000
117,35,5,1586348650000
8,18,12,1586348842000
27,10,10,1586348593000
16,14,6,1586348416000
96,19,11,1586348593000
82,16,6,1586348502000
76,32,6,1586348772000
71,31,9,1586348563000
